#scientific name	type materials and coidentical strains	has sequences from type material?	number of assemblies per taxon	number of assemblies from type materials per taxon	number of assemblies from type materials per species
Lewinella xylanilytica	13-9-B8,DSM 29526,DSM:29526,KCTC 32663,KCTC:32663	yes	1	1	1
Libanicoccus massiliensis	CCUG 71182,CCUG:71182,CSUR:P 3237,CSUR:P3237,CSURP 3237,CSURP:3237,Marseille-P3237	yes	1	1	1
Liberibacter crescens	ATCC BAA-2481,ATCC:BAA-2481,BT-1,DSM 26877,DSM:26877,culture-collection:ATCC:BAA:2481	yes	2	1	1
Lichenibacterium minor	KCTC 72077,KCTC:72077,RmlP026,VKM B-3277,VKM:B-3277	yes	1	1	1
Lichenibacterium ramalinae	KCTC 72076,KCTC:72076,RmlP001,VKM B-3263,VKM:B-3263	yes	1	1	1
Lichenicoccus roseus	KCTC 72321,KCTC:72321,KEBCLARHB70R,VKM B-3305,VKM:B-3305	yes	1	1	1
Lichenihabitans psoromatis	JCM 33311,JCM:33311,KCCM 43293,KCCM:43293,PAMC 29148,PAMC:29148	yes	2	1	1
Ligilactobacillus agilis	BCCM/LMG:9186,CCUG 31450,CCUG:31450,CIP 101264,CIP:101264,DSM 20509,DSM:20509,JCM 1187,JCM:1187,LMG 9186,LMG:9186,NRRL B-14856,NRRL:B-14856,culture-collection:NRRL:B:14856	yes	24	1	1
Ligilactobacillus salivarius	ATCC 11741,ATCC 11742,ATCC:11741,ATCC:11742,BCCM/LMG:9476,BCCM/LMG:9477,CCUG 31453,CCUG 39464,CCUG:31453,CCUG:39464,CIP 103140,CIP 103155,CIP:103140,CIP:103155,DSM 20554,DSM 20555,DSM:20554,DSM:20555,HAMBI 78,HAMBI 87,HAMBI:78,HAMBI:87,JCM 1150,JCM 1231,JCM:1150,JCM:1231,LMG 9476,LMG 9477,LMG:9476,LMG:9477,NBRC 102160,NBRC:102160,NRRL B-1949,NRRL B-1950,NRRL:B-1949,NRRL:B-1950	yes	182	3	3
Lihuaxuella thermophila	CCTCC AA 2011024,CCTCC:AA 2011024,DSM 46701,DSM:46701,JCM 18059,JCM:18059,YIM 77831,YIM:77831,culture-collection:CCTCC:AA:2011024	yes	1	1	1
Limibacillus halophilus	CAU 1121,CECT 8803,CECT:8803,KCTC 42420,KCTC:42420,NBRC 110928,NBRC:110928	yes	1	1	1
Limibacter armeniacum	DSM 26026,DSM:26026,KCTC 22132,KCTC:22132,MBIC 08286,MBIC:08286,YM11-185	yes	0	0	0
Limibaculum halophilum	CAU 1123,KCTC 52187,KCTC:52187,NBRC 112522,NBRC:112522	yes	0	0	0
Limihaloglobus sulfuriphilus	DSM 100118,DSM:100118,JCM 31927,JCM:31927,KCTC 15601,KCTC:15601,SM-Chi-D1	yes	1	1	1
Limimaricola aestuariicola	J-TF4,KCTC 42135,KCTC:42135,NBRC 110408,NBRC:110408	yes	0	0	0
Limimaricola cinnabarinus	CECT 8072,CECT:8072,DSM 29954,DSM:29954,JCM 18161,JCM:18161,LL-001	yes	2	1	1
Limimaricola hongkongensis	DSM 17492,DSM:17492,JCM 12479,JCM:12479,NRRL B-41039,NRRL:B-41039,UST950701-009P,culture-collection:NRRL:B:41039	yes	2	2	2
Limimaricola pyoseonensis	DSM 21424,DSM:21424,JJM85,KCTC 22372,KCTC:22372	yes	1	1	1
Limimaricola soesokkakensis	CECT 8367,CECT:8367,DSM 29956,DSM:29956,DSSK1-5,KCTC 32425,KCTC:32425	yes	2	2	2
Limimaricola variabilis	CECT 8572,CECT:8572,J-MR2-Y,KCTC 42074,KCTC:42074	yes	1	1	1
Limimonas halophila	DSM 25584,DSM:25584,IA16,IBRC-M 10018,IBRC-M:10018	yes	1	1	1
Limisphaera ngatamarikiensis	DSM 27329,DSM:27329,ICMP 20182,ICMP:20182,NGM72.4	yes	1	1	1
Limnobacter alexandrii	CCTCC AB 2019004,CCTCC:AB 2019004,CCTCC:AB2019004,KCTC 72281,KCTC:72281,LZ-4	yes	1	1	1
Limnobacter humi	KACC 18574,KACC:18574,NBRC 111650,NBRC:111650,UCM-39	yes	0	0	0
Limnobacter litoralis	BCCM/LMG:24869,CIP 109929,CIP:109929,KP1-19,LMG 24869,LMG:24869,NBRC 105857,NBRC:105857	yes	0	0	0
Limnobacter thiooxidans	BCCM/LMG:19593,CS-K2,DSM 13612,DSM:13612,LMG 19593,LMG:19593	yes	0	0	0
Limnobaculum parvum	HYN0051,KACC 19186,KACC:19186,NBRC 112742,NBRC:112742	yes	1	1	1
Limnochorda pilosa	DSM 28787,DSM:28787,HC45,NBRC 110152,NBRC:110152	yes	1	1	1
Limnoglobus roseus	KCTC 72397,KCTC:72397,PX52,VKM B-3275,VKM:B-3275	yes	1	1	1
Limnohabitans australis	CCUG 56719,CCUG:56719,DSM 21646,DSM:21646,MWH-BRAZ-DAM2D	yes	0	0	0
Limnohabitans curvus	CCUG 56720,CCUG:56720,DSM 21645,DSM:21645,MWH-C5	yes	1	1	1
Limnohabitans parvus	CIP 109845,CIP:109845,DSM 21592,DSM:21592,II-B4	yes	1	1	1
Limnohabitans planktonicus	CIP 109844,CIP:109844,DSM 21594,DSM:21594,II-D5	yes	1	1	1
Limnoraphis robusta	CCALA 966,CCALA:966	yes	1	0	0
Limnospira fusiformis	CCALA 026,CCALA:026,M 132/2b,NIVA-CYA:120,SAG 85.79,SAG:85.79,UTEX:LB 2340	yes	2	1	1
Limnospira indica	PCC 8005,PCC:8005	yes	2	2	2
Limnospira maxima	ETHI-A2,UTEX:LB 2720	yes	1	0	0
Limnothrix redekei	NIES-847,NIES:847,NIVA-CYA 277/1,NIVA-CYA:277/1	no	0	0	0
Limnothrix rosea	na	no	1	0	0
Limoniibacter endophyticus	CCTCC AB 2014130,CCTCC:AB 2014130,CCTCC:AB2014130,CGMCC 1.12906,CGMCC:1.12906,JCM 30141,JCM:30141,KCTC 42097,KCTC:42097,YIM 690229,YIM:690229	yes	1	1	1
Limosilactobacillus fermentum	ATCC 14931,ATCC:14931,BCCM/LMG:6902,BCCM/LMG:9846 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],CCUG 30138,CCUG:30138,CECT 562 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],CECT:562 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],CIP 102980,CIP:102980,DSM 20052,DSM 20055 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],DSM:20052,DSM:20055 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],IFO 15885,IFO:15885,JCM 1137 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],JCM 12530 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],JCM:1137 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],JCM:12530 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],LMG 6902,LMG 9846 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],LMG:6902,LMG:9846 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],NBRC 15885,NBRC:15885,NCCB 46038,NCCB:46038,NCDO 1750,NCDO:1750,NCIMB 11840,NCIMB:11840,NRRL B-1840 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],NRRL B-4524,NRRL:B-1840 [[Lactobacillus cellobiosus Rogosa et al. 1953 (Approved Lists 1980)]],NRRL:B-4524,culture-collection:NRRL:B:4524	yes	84	4	4
Limosilactobacillus gorillae	DSM 28356,DSM:28356,JCM 19575,JCM:19575,KZ01	yes	1	1	1
Limosilactobacillus oris	5A1,ATCC 49062,ATCC:49062,BCCM/LMG:9848,CCUG 37396,CCUG:37396,CIP 103255,CIP 105162,CIP:103255,CIP:105162,DSM 4864,DSM:4864,JCM 11028,JCM 7507,JCM:11028,JCM:7507,LMG 9848,LMG:9848,NCDO 2160,NCDO:2160,NCIB 8831,NCIB:8831,NCIMB 8831,NCIMB:8831	yes	5	1	1
Lipingzhangella halophila	CGMCC 4.7224,CGMCC:4.7224,DSM 102030,DSM:102030,EGI 80537	yes	1	1	1
Liquorilactobacillus cacaonum	BCCM/LMG:24285,DSM 21116,DSM:21116,LMG 24285,LMG:24285	yes	1	1	1
Liquorilactobacillus nagelii	ATCC 700692,ATCC:700692,CCUG 43575,CCUG:43575,DSM 13675,DSM:13675,JCM 12492,JCM:12492,LuE10,NRIC 0559,NRIC:0559	yes	2	1	1
Liquorilactobacillus vini	CECT 5924,CECT:5924,DSM 20605,DSM:20605,JCM 14280,JCM:14280,Mont 4	yes	3	2	2
Lishizhenia caseinilytica	JCM 13821,JCM:13821,NRRL B-41434,NRRL:B-41434,UST040201-001,culture-collection:NRRL:B:41434	yes	0	0	0
Lishizhenia tianjinensis	CGMCC 1.7005,CGMCC:1.7005,H6,JCM 15141,JCM:15141	yes	1	1	1
Listeria aquatica	BCCM/LMG:28120,BEI NR-42633,BEI:NR:42633,DSM 26686,DSM:26686,FSL S10-1188,LMG 28120,LMG:28120	yes	2	1	1
Listeria booriae	BCCM/LMG:28311,CIP 111022,CIP:111022,DSM 28860,DSM:28860,FSL A5-0281,LMG 28311,LMG:28311,NCTC 13936,NCTC:13936	yes	92	2	2
Listeria cornellensis	BCCM/LMG:28123,BEI NR-42630,BEI:NR:42630,DSM 26689,DSM:26689,FSL F6-0969,LMG 28123,LMG:28123,TTU A1-0210	yes	1	1	1
Listeria costaricensis	CIP 111400,CIP:111400,CLIP 2016/00682,CLIP201600682,DSM 105474,DSM:105474,ES106	yes	1	1	1
Listeria fleischmannii	BCCM/LMG:26584,CIP 110547,CIP:110547,DSM 24998,DSM:24998,LMG 26584,LMG:26584,LU2006-1	yes	7	1	3
Listeria fleischmannii subsp. coloradonensis	ATCC BAA-2414,ATCC:BAA-2414,CIP 110717,CIP:110717,DSM 25391,DSM:25391,NCTC 13938,NCTC:13938,TTU M1-001,culture-collection:ATCC:BAA:2414	yes	2	2	3
Listeria floridensis	BCCM/LMG:28121,BEI NR-42632,BEI:NR:42632,DSM 26687,DSM:26687,FSL S10-1187,LMG 28121,LMG:28121	yes	1	1	1
Listeria goaensis	DSM 29886,DSM:29886,ILCC801,KCTC 33909,KCTC:33909,MCC 3285,MCC:3285	yes	2	1	1
Listeria grandensis	BCCM/LMG:28122,BEI NR-42631,BEI:NR:42631,DSM 26688,DSM:26688,FSL F6-0971,LMG 28122,LMG:28122,TTU A1-0212	yes	4	1	1
Listeria grayi	ATCC 19120,ATCC 25401 [[Listeria murrayi ]],ATCC:19120,ATCC:25401 [[Listeria murrayi]],BCCM/LMG:16490,BCCM/LMG:16491 [[Listeria murrayi]],CCUG 4983,CCUG 5118,CCUG:4983,CCUG:5118,CIP 105447,CIP 6818,CIP:105447,CIP:6818,CLIP 12515 [[Listeria murrayi ]],CLIP:12515 [[Listeria murrayi]],DSM 20601,DSM:20601,LMG 16490,LMG 16491 [[Listeria murrayi ]],LMG:16490,LMG:16491 [[Listeria murrayi]],NCAIM B.01372 [[Listeria murrayi ]],NCAIM B.01871,NCTC 10812 [[Listeria murrayi ]],NCTC 10815,NCTC:10812 [[Listeria murrayi]],NCTC:10815	yes	6	4	4
Listeria innocua	ATCC 33090,ATCC:33090,BCCM/LMG:11387,CCUG 15531,CCUG:15531,CIP 80.11,CIP:80.11,DSM 20649,DSM:20649,LMG 11387,LMG:11387,NCTC 11288,NCTC:11288,SLCC 3379,SLCC:3379	yes	171	0	0
Listeria ivanovii	ATCC 19119,ATCC:19119,BCCM/LMG:11388,CCUG 15528,CCUG:15528,CIP 78.42,CIP:78.42,CLIP 12510,CLIP:12510,DSM 20750,DSM:20750,JCM 7681,JCM:7681,LMG 11388,LMG:11388,NCTC 11007,NCTC 11846,NCTC:11007,NCTC:11846,SLCC 2379,SLCC:2379,WSLC 3010,WSLC:3010	yes	29	3	4
Listeria ivanovii subsp. londoniensis	ATCC 49954,ATCC:49954,CCUG 36672,CCUG:36672,CIP 103466,CIP:103466,CLIP 12229,CLIP:12229,DSM 12491,DSM:12491,NCTC 12701,NCTC:12701	yes	3	1	4
Listeria kieliensis	na	no	1	0	0
Listeria marthii	ATCC BAA-1595,ATCC:BAA-1595,ATCC:BAA:1595,BEIR,CCUG 56148,CCUG:56148,CECT 7970,CECT:7970,FSL S4-120,H3507,J3452,NCTC 13723,NCTC:13723,NR 9579	yes	33	0	0
Listeria monocytogenes	ATCC 15313,ATCC:15313,CCUG 15526,CCUG:15526,CIP 82.110,CIP:82.110,DSM 20600,DSM:20600,NCTC 10357,NCTC:10357,SLCC 53,SLCC:53	yes	36495	3	3
Listeria newyorkensis	BCCM/LMG:28310,CIP 111021,CIP:111021,DSM 28861,DSM:28861,FSL M6-0635,LMG 28310,LMG:28310,NCTC 13937,NCTC:13937	yes	6	2	2
Listeria riparia	BCCM/LMG:28119,BEI NR- 42634,DSM 26685,DSM:26685,FSL S10-1204,LMG 28119,LMG:28119	yes	1	1	1
Listeria rocourtiae	Allerberger 700284/02,CIP 109804,CIP:109804,DSM 22097,DSM:22097	yes	4	1	1
Listeria seeligeri	ATCC 35967,ATCC:35967,BCCM/LMG:11386,CCUG 15530,CCUG:15530,CIP 100100,CIP:100100,DSM 20751,DSM:20751,LMG 11386,LMG:11386,NCAIM B.01873,NCTC 11856,NCTC:11856,SLCC 3954,SLCC:3954,Weis 1120	yes	160	1	1
Listeria thailandensis	CIP 111635,CIP:111635,CLIP 2015/00305,DSM 107638,DSM:107638	yes	1	0	0
Listeria valentina	CIP 111799,CIP:111799,CLIP 2019/00642,DSM 110544,DSM:110544	yes	1	1	1
Listeria weihenstephanensis	BCCM/LMG:26374,DSM 24698,DSM:24698,LMG 26374,LMG:26374,WS 4560	yes	3	1	1
Listeria welshimeri	ATCC 35897,ATCC:35897,BCCM/LMG:11389,CCUG 15529,CCUG:15529,CIP 81.49,CIP:81.49,DSM 20650,DSM:20650,LMG 11389,LMG:11389,NCAIM B.01872,NCTC 11857,NCTC:11857,SLCC 5334,SLCC:5334,Welshimer V8	yes	187	2	2
Litoreibacter albidus	DSM 26922,DSM:26922,JCM 16493,JCM:16493,KMM 3851,KMM:3851,NRIC 0773,NRIC:0773	yes	1	1	1
Litoreibacter arenae	DSM 19593,DSM:19593,GA2-M15,KACC 12675,KACC:12675,NBRC 106423,NBRC:106423	yes	1	1	1
Litoreibacter ascidiaceicola	CECT 8539,CECT:8539,DSM 100566,DSM:100566,KCTC 42050,KCTC:42050,RSS4-C1	yes	1	1	1
Litoreibacter halocynthiae	CCUG 63416,CCUG:63416,DSM 29467,DSM:29467,KCTC 32213,KCTC:32213,P-MA1-7	yes	1	1	1
Litoreibacter janthinus	DSM 26921,DSM:26921,JCM 16492,JCM:16492,KMM 3842,KMM:3842,NRIC 0772,NRIC:0772	yes	1	1	1
Litoreibacter meonggei	CCUG 61486,CCUG:61486,DSM 29466,DSM:29466,KCTC 23699,KCTC:23699,MA1-1	yes	1	1	1
Litoreibacter ponti	DSM 100977,DSM:100977,GJSW-31,KCTC 42114,KCTC:42114,NBRC 110379,NBRC:110379	yes	1	1	1
Litoribacillus peritrichatus	CGMCC 1.10796,CGMCC:1.10796,JCM 17551,JCM:17551,JYr12	yes	0	0	0
Litoribacter alkaliphilus	BCCM/LMG:27256,JC166,KCTC 32217,KCTC:32217,LMG 27256,LMG:27256	yes	0	0	0
Litoribacter ruber	ACCC 05414,ACCC:05414,KCTC 22899,KCTC:22899,YIM CH208	yes	0	0	0
Litoribaculum gwangyangense	GY12,JCM 18325,JCM:18325,KACC 16441,KACC:16441	yes	0	0	0
Litoribrevibacter albus	MCCC 1F01211,MCCC:1F01211,NBRC 110071,NBRC:110071,Y32	yes	0	0	0
Litoribrevibacter euphylliae	BCCM/LMG:29725,BCRC 81004,BCRC:81004,Eup a-2,KCTC 52438,KCTC:52438,LMG 29725,LMG:29725	yes	0	0	0
Litoricola lipolytica	IMCC 1097,IMCC1097,KCCM 42360,KCCM:42360,NBRC 102074,NBRC:102074	yes	1	1	1
Litoricola marina	IMCC2782,KCTC 22683,KCTC:22683,NBRC 105824,NBRC:105824	yes	0	0	0
Litorilinea aerophila	ATCC BAA-2444,ATCC:BAA-2444,DSM 25763,DSM:25763,PRI-4131,culture-collection:ATCC:BAA:2444	yes	2	1	1
Litorilituus lipolyticus	KCTC 62835,KCTC:62835,MCCC 1K03616,MCCC:1K03616,RZ04	yes	1	1	1
Litorilituus sediminis	CGMCC 1.10794,CGMCC:1.10794,JCM 17549,JCM:17549,JYr2	yes	1	1	1
Litorimicrobium taeanense	DSM 22007,DSM:22007,G4,KACC 13706,KACC:13706	yes	1	1	1
Litorimonas cladophorae	BCCM/LMG:26985,KCTC 23968,KCTC:23968,KMM 6395,KMM:6395,LMG 26985,LMG:26985	yes	1	1	1
Litorimonas haliclonae	BCCM/LMG:29765,CCM 8709,CCM:8709,CIP 111178,CIP:111178,LMG 29765,LMG:29765,MAA42	yes	0	0	0
Litorimonas taeanensis	DSM 22008,DSM:22008,G5,KACC 13701,KACC:13701	yes	1	1	1
Litorisediminicola beolgyonensis	BB-MW24,CCUG 62953,CCUG:62953,KCTC 32139,KCTC:32139	yes	0	0	0
Litorisediminivivens gilvus	KCTC 52249,KCTC:52249,NBRC 112330,NBRC:112330,YSM-17	yes	0	0	0
Litorivivens aequoris	KCCM 90262,KCCM:90262,KMU-37,NBRC 111904,NBRC:111904	yes	0	0	0
Litorivivens lipolytica	CECT 8654,CECT:8654,HJTF-7,KCTC 42157,KCTC:42157	yes	1	1	1
Loigolactobacillus iwatensis	DSM 26942,DSM:26942,IWT246,JCM 18838,JCM:18838	yes	1	1	1
Loktanella acticola	KCTC 52837,KCTC:52837,NBRC 112781,NBRC:112781,OISW-6	yes	0	0	0
Loktanella agnita	CIP 107883,CIP:107883,KMM 3788,KMM:3788,R10SW5	yes	0	0	0
Loktanella aquimaris	C5,JCM 30382,JCM:30382,KEMB 3-892,KEMB:3-892,KEMC:3-892	yes	0	0	0
Loktanella atrilutea	DSM 29326,DSM:29326,IAM 15450,IAM:15450,IG8,JCM 23210,JCM:23210,NCIMB 14280,NCIMB:14280	yes	1	1	1
Loktanella fryxellensis	BCCM/LMG:22007,CIP 108323,CIP:108323,DSM 16213,DSM:16213,JCM 21635,JCM:21635,LMG 22007,LMG:22007,NBRC 102485,NBRC:102485	yes	1	1	1
Loktanella ponticola	DSM 101064,DSM:101064,KCTC 42133,KCTC:42133,NBRC 110409,NBRC:110409,W-SW2	yes	1	1	1
Loktanella salsilacus	BCCM/LMG:21507,CIP 108322,CIP:108322,DSM 16199,DSM:16199,JCM 21636,JCM:21636,LMG 21507,LMG:21507,NBRC 102486,NBRC:102486	yes	1	1	1
Lonepinella koalarum	ACM 3666,ACM:3666,ATCC 700131,ATCC:700131,DSM 10053,DSM:10053	yes	3	2	2
Longibacter salinarum	KCTC 52045,KCTC:52045,MCCC 1H00132,MCCC:1H00132,WDS2C18	yes	1	1	1
Longibaculum muris	DSM 29487,DSM:29487,KCTC 15536,KCTC:15536,MT10-315-CC-1.2-2	yes	1	1	1
Longicatena caecimuris	DSM 29481,DSM:29481,KCTC 15535,KCTC:15535,PG-426-CC-2	yes	1	1	1
Longilinea arvoryzae	JCM 13670,JCM:13670,KOME-1,KTCC 5380,KTCC:5380	yes	1	1	1
Longimicrobium terrae	CB-286315,CECT 8660,CECT:8660,DSM 29007,DSM:29007	yes	3	3	3
Longimonas haloalkaliphila	BSker3,JCM 31343,JCM:31343,UNIQEM U1010	yes	0	0	0
Longimonas halophila	CICC 10838,CICC:10838,KCTC 42399,KCTC:42399,SYD6	yes	1	1	1
Longimycelium tulufanense	CGMCC 4.5737,CGMCC:4.5737,NBRC 107726,NBRC:107726,TRM 46004	yes	1	1	1
Longinema margulisiae	NS,VKM B-3452,VKM:B-3452	yes	0	0	0
Longirhabdus pacifica	CGMCC 1.16550,CGMCC:1.16550,DSM 105158,DSM:105158,SCSIO 06110	yes	1	1	1
Longispora albida	DSM 44784,DSM:44784,JCM 11711,JCM:11711,K97-0003,NBRC 100759,NBRC:100759,NRRL B-24201,NRRL:B-24201,culture-collection:NRRL:B:24201	yes	1	1	1
Longispora fulva	DSM 45356,DSM:45356,KZ0017,NBRC 105670,NBRC:105670	yes	0	0	0
Longispora urticae	CCTCC AA 2017017,CCTCC:AA 2017017,DSM 105119,DSM:105119,NEAU-PCY-3,culture-collection:CCTCC:AA:2017017	yes	0	0	0
Longivirga aurantiaca	CGMCC 4.7317,CGMCC:4.7317,NBRC 112237,NBRC:112237,X5	yes	0	0	0
Lonsdalea britannica	BCCM/LMG:26267,CFCC 10822,CFCC:10822,LMG 26267,LMG:26267,NCPPB 4481,NCPPB:4481,R-43280	yes	3	1	1
Lonsdalea iberica	BCCM/LMG:26264,CFCC 10824,CFCC:10824,LMG 26264,LMG:26264,NCPPB 4490,NCPPB:4490,R-44166	yes	2	1	1
Lonsdalea populi	BCCM/LMG:27349,CFCC 13125,CFCC:13125,DSM 25466,DSM:25466,LMG 27349,LMG:27349,NCAIM B 02483,NCAIM:B:02483,NY060	yes	25	0	0
Lonsdalea quercina	ATCC 29281,ATCC:29281,BCCM/LMG:2724,CCUG 48867,CCUG:48867,CFBP 3617,CFBP:3617,CIP 105201,CIP:105201,DSM 4561,DSM:4561,ICMP 1845,ICMP:1845,LMG 2724,LMG:2724,NCPPB 1852,NCPPB:1852	yes	6	2	2
Loriellopsis cavernicola	LF-B5	yes	0	0	0
Lottiidibacillus patelloidae	KCTC 33831,KCTC:33831,MCCC 1A11654,MCCC:1A11654,SA5d-4	yes	1	1	1
Lucifera butyrica	ALE,DSM 27520,DSM:27520,JCM:19373	yes	1	0	0
Luedemannella flava	7-40(26),JCM 13250,JCM:13250,MTCC 8095,MTCC:8095	yes	0	0	0
Luedemannella helvata	3-9(24),JCM 13249,JCM:13249,MTCC 8091,MTCC:8091	yes	0	0	0
Luethyella okanaganae	CCUG 4330,CCUG:4330,LBG B4405,NCIMB 702272,NCIMB:702272	yes	0	0	0
Lujinxingia litoralis	B210,CGMCC 1.16770,CGMCC:1.16770,KCTC 42951,KCTC:42951	yes	1	1	1
Lujinxingia sediminis	DSM 101859,DSM:101859,KCTC 42950,KCTC:42950,SEH01	yes	1	1	1
Luminiphilus syltensis	DSM 22749,DSM:22749,Ivo14,JCM 17770,JCM:17770,NOR5-1B	yes	1	1	1
Lunatimonas lonarensis	AK24,JCM 18822,JCM:18822,MTCC 11627,MTCC:11627	yes	1	1	1
Lunatimonas salinarum	BCCM/LMG:29259,JC344,KCTC 42988,KCTC:42988,LMG 29259,LMG:29259	yes	0	0	0
Lusitaniella coriacea	LEGE 07167,LEGE:07167	yes	1	0	0
Lutaonella thermophila	CC-MHSW-2,JCM 15069,JCM:15069,KCTC 22538,KCTC:22538	yes	0	0	0
Luteibacter anthropi	CCM 7598,CCM:7598,CCUG 25036,CCUG:25036,DSM 23190,DSM:23190	yes	1	1	1
Luteibacter jiangsuensis	CGMCC 1.10133,CGMCC:1.10133,DSM 22396,DSM:22396,JW-64-1	yes	1	1	1
Luteibacter pinisoli	CGMCC 1.16227,CGMCC:1.16227,KACC 19298,KACC:19298,MAH-14	yes	1	1	1
Luteibacter rhizovicinus	ATCC BAA-1015,ATCC:BAA-1015,DSM 16549,DSM:16549,LJ96,culture-collection:ATCC:BAA:1015	yes	4	2	2
Luteibacter yeojuensis	DSM 17673,DSM:17673,KACC 11405,KACC:11405,R2A16-10	yes	3	1	1
Luteibaculum oceani	BCRC 80551,BCRC:80551,CC-AMWY-103B,JCM 18817,JCM:18817	yes	1	1	1
Luteimicrobium album	DSM 24866,DSM:24866,NBRC 106348,NBRC:106348,RI148-Li105	yes	0	0	0
Luteimicrobium subarcticum	DSM 22413,DSM:22413,NBRC 105647,NBRC:105647,R19-04	yes	1	1	1
Luteimicrobium xylanilyticum	JCM 18090,JCM:18090,KCTC 19882,KCTC:19882,W-15	yes	1	0	0
Luteimonas abyssi	CGMCC 1.12611,CGMCC:1.12611,DSM 25880,DSM:25880,XH031	yes	1	1	1
Luteimonas aestuarii	B9,DSM 19680,DSM:19680,KCTC 22048,KCTC:22048	yes	1	1	1
Luteimonas aquatica	BCCM/LMG:24212,BCRC 17731,BCRC:17731,LMG 24212,LMG:24212,RIB1-20	yes	0	0	0
Luteimonas arsenica	26-35,CCTCC AB 2014326,CCTCC:AB 2014326,KCTC 42824,KCTC:42824,culture-collection:CCTCC:AB:2014326	yes	1	1	1
Luteimonas chenhongjianii	100111,CGMCC 1.16429,CGMCC:1.16429,DSM 104077,DSM:104077	yes	1	1	1
Luteimonas composti	BCRC 17598,BCRC:17598,CC-YY255,CCUG 53595,CCUG:53595,CIP 109311,CIP:109311	yes	0	0	0
Luteimonas cucumeris	CGMCC 1.10821,CGMCC:1.10821,KCTC 23627,KCTC:23627,Y4	yes	1	1	1
Luteimonas dalianensis	CGMCC 1.12191,CGMCC:1.12191,JCM 18136,JCM:18136,OB44-3	yes	0	0	0
Luteimonas gilva	CCTCC AB 2019255,CCTCC:AB2019255,H23T,KCTC 72593,KCTC:72593	no	1	0	0
Luteimonas granuli	Gr-4,JCM 18203,JCM:18203,KACC 16614,KACC:16614	yes	1	1	1
Luteimonas huabeiensis	CICC 11005s,CICC:11005s,DSM 26429,DSM:26429,HB2	yes	1	1	1
Luteimonas lumbrici	1.1416,CCTCC AB 2018348,CCTCC:AB2018348,KCTC 62979,KCTC:62979	yes	1	1	1
Luteimonas lutimaris	G3,JCM 16916,JCM:16916,KACC 14929,KACC:14929	yes	0	0	0
Luteimonas marina	FR1330,IMSNU 60306,IMSNU:60306,JCM 12488,JCM:12488,KCTC 12327,KCTC:12327	yes	1	1	1
Luteimonas mephitis	ATCC BAA-11,ATCC:BAA-11,B1953/27.1,CCUG 48040,CCUG:48040,CIP 107229,CIP:107229,DSM 12574,DSM:12574,culture-collection:ATCC:BAA:11	yes	1	1	1
Luteimonas notoginsengisoli	JCM 30329,JCM:30329,KCTC 42211,KCTC:42211,SYP-B804	yes	0	0	0
Luteimonas padinae	CDR SL 15,DSM 101536,DSM:101536,KCTC 52403,KCTC:52403	yes	1	1	1
Luteimonas pelagia	BCRC 80558,BCRC:80558,CC-VAM-7,JCM 18792,JCM:18792	yes	0	0	0
Luteimonas rhizosphaerae	4-12,CCTCC AB 2016261,CCTCC:AB 2016261,CCTCC:AB:2016261,KCTC 52585,KCTC:52585	yes	0	0	0
Luteimonas soli	ACCC 19799,ACCC:19799,KCTC 42441,KCTC:42441,Y2	yes	0	0	0
Luteimonas terrae	JCM 30122,JCM:30122,KACC 18131,KACC:18131,THG-MD21	yes	1	1	1
Luteimonas terricola	BZ92r,CGMCC 1.8985,CGMCC:1.8985,DSM 22344,DSM:22344	yes	2	2	2
Luteimonas vadosa	JCM 18392,JCM:18392,KMM 9005,KMM:9005,NRIC 0881,NRIC:0881	yes	0	0	0
Luteimonas yindakuii	CGMCC 1.13927,CGMCC:1.13927,JCM 33487,JCM:33487,S-1072	yes	2	1	1
Luteipulveratus halotolerans	ATCC TSD-4,ATCC:TSD-4,C296001,JCM 30660,JCM:30660,culture-collection:ATCC:TSD:4	yes	1	1	1
Luteipulveratus mongoliensis	MN07-A0370,NBRC 105296,NBRC:105296,VTCC D9-09	yes	1	1	1
Luteitalea pratensis	DSM 100886,DSM:100886,HEG_-6_39,KCTC 52215,KCTC:52215	yes	1	1	1
Luteivirga sdotyamensis	ATCC BAA-2393,ATCC:BAA-2393,BCCM/LMG:26723,LMG 26723,LMG:26723,PIII.02,culture-collection:ATCC:BAA:2393	yes	0	0	0
